state,percentage_2018,percentage_2019,value
Alabama,15.000,15.700,7.00
Alaska,31.700,38.300,6.600
Arizona,40.000,38.900,-1.100
Arkansas,19.300,23.700,4.400
California,24.200,30.800,6.600
Colorado,38.000,47.000,9.000
Connecticut,27.300,33.200,5.900
Delaware,21.000,24.200,3.200
Florida,26.300,30.000,3.700
Georgia,26.700,30.500,3.800
Hawaii,28.900,31.600,2.700
Idaho,30.500,31.400,0.900
Illinois,35.600,35.600,0.000
Indiana,20.000,24.000,4.000
Iowa,23.300,29.300,6.000
Kansas,28.500,27.900,-0.600
Kentucky,16.700,22.500,5.800
Louisiana,14.600,16.000,1.400
Maine,33.900,38.700,4.800
Maryland,32.400,38.800,6.400
Massachusetts,24.500,28.500,4.000
Michigan,25.000,35.800,10.800
Minnesota,32.300,31.800,-0.500
Mississippi,14.900,13.800,-1.100
Missouri,23.400,24.900,1.500
Montana,28.000,30.000,2.000
Nebraska,26.500,28.600,2.100
Nevada,38.100,52.400,14.300
New Hampshire,28.800,34.200,5.400
New Jersey,30.800,30.800,0.000
New Mexico,30.400,35.700,5.300
New York,28.200,32.400,4.200
North Carolina,24.700,25.300,0.600
North Dakota,18.400,21.300,2.900
Ohio,22.000,26.500,4.500
Oklahoma,14.100,21.500,7.400
Oregon,33.300,40.000,6.700
Pennsylvania,19.400,26.500,7.100
Rhode Island,31.900,38.100,6.200
South Carolina,15.900,15.900,0.000
South Dakota,19.000,23.800,4.800
Tennessee,15.900,15.900,0.000
Texas,20.400,23.800,3.400
Utah,19.200,24.000,4.800
Vermont,40.000,40.000,0.000
Virginia,27.100,26.400,-0.700
Washington,37.400,41.500,4.100
West Virginia,14.900,14.200,-0.700
Wisconsin,24.200,27.300,3.100
Wyoming,11.100,15.600,4.500
,0.000,0.000,0.000
TOTAL,25.400,28.900,3.500
